"","RegionName","Funding_2021"
"1","South of Sahara",38.09
"2","Regional and Unspecified",24.56
"3","Caribbean & Central America",2.23
"4","Far East Asia",1.19
"5","South America",0.93
"6","South & Central Asia",0.89
"7","North of Sahara",0.08
