"","PurposeName","Funding_2021"
"1","Agricultural development",28.31
"2","Agricultural research",17.64
"3","Agricultural policy and administrative management",8.08
"4","Rural development",5.07
"5","Agricultural co-operatives",3.5
"6","Food crop production",2.33
"7","Agricultural water resources",2.04
"8","Agricultural extension",0.5
"9","Household food security programmes",0.5
