"","PurposeName","Funding_2021"
"1","Agricultural research",12.7
"2","Fishing policy and administrative management",1.37
"3","Agricultural development",0.57
"4","Agricultural policy and administrative management",0.26
"5","Agricultural services",0
"6","Plant and post-harvest protection and pest control",0
