"","DonorName","2021"
"1","Food and Agriculture Organisation",42.93
"2","Asian Development Bank",0.29
"3","Monaco",0.25
"4","Inter-American Development Bank",0
"5","International Development Association",0
"6","International Finance Corporation",0
"7","Islamic Development Bank",0
"8","OPEC Fund for International Development",0
