"","RegionName","Funding_2021"
"1","South of Sahara",175.99
"2","Regional and Unspecified",43.78
"3","South & Central Asia",15.25
"4","Caribbean & Central America",13.45
"5","Far East Asia",4.47
"6","North of Sahara",1.66
"7","America",0.34
"8","South America",0.08
"9","Middle East",0.01
"10","Asia",0
