"","PurposeName","Funding_2021"
"1","Agricultural policy and administrative management",237.34
"2","Agricultural development",7.89
"3","Food crop production",7.18
"4","Agricultural services",1.3
"5","Agricultural research",0.71
"6","Agricultural inputs",0.61
"7","Agricultural education/training",0
"8","Fishery development",0
"9","Food safety and quality",0
"10","Industrial crops/export crops",0
"11","Livestock",0
