"","RegionName","Funding_2021"
"1","Regional and Unspecified",86.6
"2","South of Sahara",49.46
"3","South America",20.8
"4","Far East Asia",1.6
"5","South & Central Asia",1.29
"6","Middle East",0.91
"7","Caribbean & Central America",0.17
"8","North of Sahara",0.04
