"","RegionName","Funding_2021"
"1","South of Sahara",175.62
"2","Caribbean & Central America",17.65
"3","Regional and Unspecified",16.81
"4","South & Central Asia",16.5
"5","Middle East",6.93
"6","Oceania",5.91
"7","Asia",5.09
"8","Africa",2.92
"9","Far East Asia",1.83
"10","South America",1.1
"11","Europe",0.06
