Year,ODA,Share,Full Name,donor
2020,0.0031,1.434757414918885e-05,united nations,Netherlands
2020,0.20529999999999998,0.0009501796686543454,asian development bank,Netherlands
2020,9.980400000000001,0.04619178356082723,united nations children’s fund,Netherlands
2020,19.597700000000003,0.09070304964630915,european commission european development fund,Netherlands
2020,11.1396,0.051556850642678745,european commission development share of budget,Netherlands
2020,46.66020000000001,0.2159550578438651,global alliance for vaccines and immunization,Netherlands
2020,12.396700000000001,0.05737502337266111,united nations population fund,Netherlands
2020,53.329499999999996,0.2468222437384409,global fund to fight aids tuberculosis and malaria,Netherlands
2020,17.401,0.0805361734742049,world health organisation assessed contributions,Netherlands
2020,0.9389,0.0043454636673140035,world food programme,Netherlands
2020,0.11560000000000001,0.0005350256682729778,global environment facility trust fund,Netherlands
