"Year","ODA to the education sector as % of  total ODA","Bilateral funding","Bilateral as earmarked funding through multilaterals","Multilateral as core contributions to organizations","Bilateral","Earmarked","Multilateral"
2018,9.89235409577059,NA,NA,1.69214323483859,"NA%","NA%","32%"
2019,8.95633085600234,NA,NA,2.05826808580173,"NA%","NA%","43%"
2020,7.60298689359936,NA,NA,2.02370570843494,"NA%","NA%","49%"
2021,8.26033181360066,NA,NA,1.82004285133168,"NA%","NA%","37%"
2022,2.23971173335803,NA,NA,2.39729682546021,"NA%","NA%","54%"
