"Year","ODA to the education sector as % of  total ODA","Bilateral funding","Bilateral as earmarked funding through multilaterals","Multilateral as core contributions to organizations","Bilateral","Earmarked","Multilateral"
2018,9.38508181186256,NA,NA,3.45387043048789,"NA%","NA%","51%"
2019,9.87935403744379,NA,NA,3.60219781447136,"NA%","NA%","47%"
2020,9.52225456510534,NA,NA,3.6163216682102,"NA%","NA%","48%"
2021,10.2828434050217,NA,NA,3.33732341759823,"NA%","NA%","38%"
2022,4.93768792744086,NA,NA,5.4960327002886,"NA%","NA%","47%"
