"Year","ODA to the education sector as % of  total ODA","Bilateral funding","Bilateral as earmarked funding through multilaterals","Multilateral as core contributions to organizations","Bilateral","Earmarked","Multilateral"
2018,2.78435456140207,NA,NA,NA,"NA%","NA%","NA%"
2019,2.74668543044891,9.513192,0.168845,NA,"98%","2%","NA%"
2020,2.9157579558821,7.787583,1.861158,NA,"81%","19%","NA%"
2021,1.88320340881156,6.218895,0.675701,NA,"90%","10%","NA%"
2022,0.689008140946195,5.775686,0.962187,NA,"86%","14%","NA%"
