"Year","ODA to the education sector as % of  total ODA","Bilateral funding","Bilateral as earmarked funding through multilaterals","Multilateral as core contributions to organizations","Bilateral","Earmarked","Multilateral"
2018,4.43911290926616,2.249584,0.02387,10.8359351050397,"17%","0%","83%"
2019,2.9870777572367,1.898805,0.010891,9.83656024769716,"16%","0%","84%"
2020,3.09513772919626,NA,NA,10.6499719988121,"NA%","NA%","100%"
2021,3.44208822778504,NA,NA,9.9157757244053,"NA%","NA%","85%"
2022,4.06973534555147,NA,NA,13.4685691592693,"NA%","NA%","88%"
