"Year","ODA to the education sector as % of  total ODA","Bilateral funding","Bilateral as earmarked funding through multilaterals","Multilateral as core contributions to organizations","Bilateral","Earmarked","Multilateral"
2018,17.2186107620803,NA,NA,2.92355990626635,"NA%","NA%","19%"
2019,19.1106701946515,15.337671,0.147445,2.91915999461869,"83%","1%","16%"
2020,21.5553432978231,NA,NA,3.14360014956994,"NA%","NA%","15%"
2021,18.3258026206757,18.159874,0.007805,3.12507106496304,"85%","0%","15%"
2022,12.5947081893195,17.362627,0.00732,4.39156601343985,"80%","0%","20%"
