"","RegionName","Funding_2021"
"1","South of Sahara",85.36
"2","Africa",72.63
"3","Caribbean & Central America",42.97
"4","Asia",33.46
"5","South America",29.15
"6","America",25.57
"7","Far East Asia",21.43
"8","South & Central Asia",9.14
"9","Middle East",7.81
"10","Oceania",3.55
"11","Europe",2.95
"12","North of Sahara",2.29
"13","Regional and Unspecified",1.04
