"","Year","Per_Total_ODA","ODA_Loans","ODA_Grants","Equity_Investment"
"1",2017,0.0399576405803241,300.91,736.72,0
"2",2018,0.0398356213092473,86.07,872.92,0
"3",2019,0.0438101552871789,70.63,957.92,4.84
"4",2020,0.0530045206028916,42.73,1282.89,141.19
"5",2021,0.0505864273069099,192.35,1187.06,19.89
