"","Year","% of total bilateral ODA","ODA Loans","ODA Grants","Equity Investment"
"1",2017,0.0728207002620286,139.67,1385.1,9.3
"2",2018,0.0741519180058614,181.34,1349.5,14.09
"3",2019,0.0715357874208956,48.22,1331.18,12.69
"4",2020,0.0529617374980708,135.64,1195.14,14.41
"5",2021,0.0609475931221031,136.23,1317.55,14.62
