"","Year","Per_Total_ODA","ODA_Loans","ODA_Grants","Equity_Investment"
"1",2017,0.0488296240157437,4.25,654.34,1.17
"2",2018,0.0400115666431182,0,551.48,7.53
"3",2019,0.0403690410930567,0,624.48,0
"4",2020,0.0329201369633781,0,438.7,0
"5",2021,0.0285568848055008,0,206.84,78.15
