"","Year","% of total bilateral ODA","ODA Loans","ODA Grants","Equity Investment"
"1",2017,0.0408724747869584,0,1385.46,0
"2",2018,0.0352915289797742,0,1166.03,0
"3",2019,0.0311262107480333,0,973.25,0
"4",2020,0.0291717349319368,0,923.8,0
"5",2021,0.0253689949232216,0,987.72,0
