"","Year","% of total bilateral ODA","ODA Loans","ODA Grants","Equity Investment"
"1",2017,0.0364046107731641,0,132.14,0
"2",2018,0.0334186387554993,0,116.22,0
"3",2019,0.0365696320025648,0,141.44,0
"4",2020,0.0390791375467633,0,157.63,0
"5",2021,0.0458755237678308,0,161.38,0
"6",NA,NA,0,0,0
