"","Year","% of total bilateral ODA","ODA Loans","ODA Grants","Equity Investment"
"1",2017,0.049624965425229,0,183,0
"2",2018,0.0577046356271796,42.63,190.51,0
"3",2019,0.047165388293982,9.12,166.93,0
"4",2020,0.0700606039024195,155.47,159.32,0
"5",2021,0.0681705202662561,192.76,144.59,0
