Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
2022,4497.19,2902.58,830.05,764.56,17%,65%,18%
2023,4859.554304,3116.170634,969.59242,773.79125,16%,64%,20%
