,Year,ODA as % GNI,ODA as % of GNI (estimate),ODA as % of GNI (downside),ODA as % of GNI (upside),Total ODA,Total ODA (estimate),Upside ODA projection,Downside ODA projection
1,2018,0.72%,NA,NA,NA,2771,NA,NA,NA
2,2019,0.72%,NA,NA,NA,2855,NA,NA,NA
3,2020,0.72%,NA,NA,NA,2835,NA,NA,NA
4,2021,0.71%,NA,NA,NA,2921,NA,NA,NA
5,2022,0.70%,0.70%,,,2967,NA,NA,NA
,2023,,0.70%,,,,3027,,
,2024,,0.70%,,,,3069,,
