Year,ODA AS % GNI,Total ODA
2018,0.26%,1287.9654244955998
2019,0.28%,1406.7690740568
2020,0.3%,1393.1907837191998
2021,0.31%,1515.2631752322
2022,0.39%,2038.0460039999998
2023,0.38%,1958.448796875
2024,0.26%,1337.364936
2025,0.26%,1358.539182
