"Year","Adaptation-related ODA as % of total bilateral allocable ODA","Principal funding","Significant funding","Principal","Significant","Not targeted and not screened"
"2017","13%",36.6771525168728,301.855968467799,"1%","11%","87%"
"2018","16%",82.9842876334609,280.273571530826,"4%","13%","84%"
"2019","16%",71.4540576124666,283.789957642283,"3%","13%","84%"
"2020","15%",95.5854329369245,300.57674352199,"4%","11%","85%"
"2021","20%",80.5157104519837,455.508740360722,"3%","17%","80%"
