"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2017","19%",110.909302423735,388.740382141858,"4%","15%","81%"
"2018","17%",111.177386854673,280.190249537124,"5%","13%","83%"
"2019","20%",142.956948216488,308.848010831412,"6%","14%","80%"
"2020","18%",158.735691134383,316.762933723754,"6%","12%","82%"
"2021","27%",184.334386388898,538.668534165113,"7%","20%","73%"
