Year,ODA AS % GNI,Total ODA
2018,0.31%,976.903467315
2019,0.32%,1041.09493545
2020,0.31%,1041.3976404
2021,0.3%,1166.17847616
2022,0.63%,2566.89495
2023,0.67%,2816.63096628
2024,0.3%,1281.86595
2025,0.3%,1313.3154
