"Year","ODA as % GNI","ODA as % of GNI (estimate)","ODA as % of GNI (downside)","ODA as % of GNI (upside)","Total ODA","Total ODA (estimate)","Upside ODA projection","Downside ODA projection"
"2018","0.983816%",NA,NA,NA,533.996107,NA,NA,NA
"2019","1.034009%",NA,NA,NA,553.223595,NA,NA,NA
"2020","1.030447%",NA,NA,NA,498.127068,NA,NA,NA
"2021","0.987852%",NA,NA,NA,539.37,NA,NA,NA
"2022","0.995662%",NA,"0.995662%","0.995662%",562.357504,NA,NA,NA
