"Year","ODA for Deveopment Priorities","Contributions to EU Institutions","In-donor Refugee Costs"
"2018",3017.677429,0,302.014276
"2019",3065.835664,0,309.276722
"2020",3527.760752,0,335.238601
"2021",3543,0,368.35
"2022",3257.604561,0,1281.801516
