"Year","ODA as % GNI","ODA as % of GNI (estimate)","ODA as % of GNI (downside)","ODA as % of GNI (upside)","Total ODA","Total ODA (estimate)","Upside ODA projection","Downside ODA projection"
"2018","0.430242%",NA,NA,NA,2462.657776,NA,NA,NA
"2019","0.409181%",NA,NA,NA,2400.166656,NA,NA,NA
"2020","0.478311%",NA,NA,NA,2503.144418,NA,NA,NA
"2021","0.432501%",NA,NA,NA,2615.51,NA,NA,NA
"2022","0.452732%",NA,"0.452732%","0.452732%",2798.659079,NA,NA,NA
