Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs
2019,853.2463099999998,386.925106,31.855883
2020,864.1065780000001,415.553319,30.600304
2021,948.7826279999999,389.141408,59.095866
2022,1046.94,417.05,372.07
2023,1017.231702,377.67149,260.375284
