,Year,ODA as % GNI,ODA as % of GNI (estimate),ODA as % of GNI (downside),ODA as % of GNI (upside),Total ODA,Total ODA (estimate),Upside ODA projection,Downside ODA projection
1,2018,0.98%,NA,NA,NA,534,NA,NA,NA
2,2019,1.03%,NA,NA,NA,553,NA,NA,NA
3,2020,1.03%,NA,NA,NA,498,NA,NA,NA
4,2021,0.99%,NA,NA,NA,539,NA,NA,NA
5,2022,1%,NA,1%,1%,562,NA,NA,NA
,2023,1.07%,,,,603,,,
,2024,1.05%,,,,603,,,
