"Year","ODA as % GNI","ODA as % of GNI (estimate)","ODA as % of GNI (downside)","ODA as % of GNI (upside)","Total ODA","Total ODA (estimate)","Upside ODA projection","Downside ODA projection"
"2018","0.257819%",NA,NA,NA,1242.757283,NA,NA,NA
"2019","0.275819%",NA,NA,NA,1358.272636,NA,NA,NA
"2020","0.296411%",NA,NA,NA,1347.058979,NA,NA,NA
"2021","0.308266%",NA,NA,NA,1466.78,NA,NA,NA
"2022","0.393945%",NA,"0.393945%","0.393945%",1990.917765,NA,NA,NA
