"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2017","12%",72,138,"4%","8%","88%"
"2018","18%",90,207,"5%","12%","82%"
"2019","29%",137,396,"7%","21%","71%"
"2020","18%",128,172,"8%","10%","82%"
"2021","22%",234,161,"13%","9%","78%"
