,Year,ODA as % GNI,ODA as % of GNI (estimate),ODA as % of GNI (downside),ODA as % of GNI (upside),Total ODA,Total ODA (estimate),Upside ODA projection,Downside ODA projection
1,2018,0.26%,NA,NA,NA,1243,NA,NA,NA
2,2019,0.28%,NA,NA,NA,1358,NA,NA,NA
3,2020,0.30%,NA,NA,NA,1347,NA,NA,NA
4,2021,0.31%,NA,NA,NA,1467,NA,NA,NA
5,2022,0.39%,0.39%,,,1991,,,
6,2023,,0.33%,,,,1826,,
7,2024,,0.27%,,,,1597,,
