Year,ODA AS % GNI,Total ODA
2018,0.98%,549.6808565325
2019,1.03%,573.695562
2020,1.03%,516.466290144
2021,0.99%,567.659704167
2022,1.0%,590.81874
2023,0.99%,580.3102811025001
2024,0.98%,583.9645650000001
2025,0.98%,600.9272550000001
