"Year","ODA as % GNI","ODA as % of GNI (estimate)","ODA as % of GNI (downside)","ODA as % of GNI (upside)","Total ODA","Total ODA (estimate)","Upside ODA projection","Downside ODA projection"
"2018","0.439125%",NA,NA,NA,3323.636241,NA,NA,NA
"2019","0.439307%",NA,NA,NA,3379.05944,NA,NA,NA
"2020","0.491318%",NA,NA,NA,3699.003411,NA,NA,NA
"2021","0.499946%",NA,NA,NA,3912.02,NA,NA,NA
"2022","0.560701%",NA,"0.560701%","0.560701%",4540.227536,NA,NA,NA
