Year,ODA AS % GNI,Total ODA
2018,0.43%,2487.4843182104
2019,0.41%,2424.2170564026
2020,0.48%,2526.0020764523
2021,0.43%,2633.1027023277998
2022,0.45%,2840.096223
2023,0.44%,2814.3320932863994
2024,0.41%,2670.93253
2025,0.41%,2702.823783
