"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2017","33%",164,29,"28%","5%","67%"
"2018","18%",8,103,"1%","17%","82%"
"2019","23%",19,65,"5%","18%","77%"
"2020","23%",47,98,"8%","15%","77%"
"2021","27%",76,176,"8%","19%","73%"
