"donorname","sum_value","Rank"
"Japan",9548.23601153474,1
"Germany",7998.8293339593,2
"France",7061.97349624464,3
"EU Institutions",5720.34977238734,4
"Korea",1438.52405184052,5
"Netherlands",1124.68384787486,6
"Australia",1085.69840030168,7
"United States",996.34188319102,8
"Norway",898.698955242108,9
"Switzerland",723.002920554011,10
"Sweden",698.271393700429,11
"Canada",637.814825310372,12
"United Kingdom",469.577465209751,13
"Denmark",415.877920978036,14
"Italy",357.78989772869,15
"Belgium",270.24368482808,16
"Finland",268.374102926686,17
"Austria",145.161857389676,18
"New Zealand",128.516698477659,19
"Spain",102.099574641401,20
"Ireland",98.9340577969408,21
"Luxembourg",25.2349599883856,22
"Iceland",18.6924221513138,23
"Hungary",13.4529629109288,24
"Czech Republic",8.80803163646784,25
"Poland",3.4315367451741,26
"Slovenia",1.75634898537364,27
"Slovak Republic",1.21135565412756,28
