"Year","Adaptation-related ODA as % of total bilateral allocable ODA","Principal funding","Significant funding","Principal","Significant","Not targeted and not screened"
"2017","24%",16.2496556312098,236.499438597873,"2%","23%","76%"
"2018","21%",15.1329624086963,175.510477876614,"2%","20%","79%"
"2019","28%",26.5374481397025,317.592958874435,"2%","26%","72%"
"2020","25%",65.6260015955118,189.185427170832,"6%","18%","75%"
"2021","20%",78.6175336166285,165.517960742632,"6%","13%","80%"
