Year,ODA AS % GNI,Total ODA
2018,0.36%,1046.554563483
2019,0.42%,1249.2405611092
2020,0.47%,1364.7854130581
2021,0.47%,1451.4423032142
2022,0.57%,1736.3068139999998
2023,0.54%,1586.2155328063
2024,0.36%,1083.394323
2025,0.36%,1103.480466
