,Year,ODA as % GNI,ODA as % of GNI (estimate),ODA as % of GNI (downside),ODA as % of GNI (upside),Total ODA,Total ODA (estimate),Upside ODA projection,Downside ODA projection
1,2018,0.43%,NA,NA,NA,2463,NA,NA,NA
2,2019,0.41%,NA,NA,NA,2400,NA,NA,NA
3,2020,0.48%,NA,NA,NA,2503,NA,NA,NA
4,2021,0.43%,NA,NA,NA,2616,NA,NA,NA
5,2022,0.45%,NA,0.45%,0.45%,2799,NA,NA,NA
,2023,,,0.49%,,,,,3032
,2023,,,,0.55%,,,3433,
,2024,,,0.52%,,,,,2868
,2024,,,,0.46%,,,3283,
