Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs
2019,2351.842709,330.488617,58.210512
2020,2300.223314,354.905868,58.971125
2021,2386.2364700000003,351.44168,60.697713
2022,2032.1899999999998,375.42,356.72
2023,2313.506028,359.249708,307.196712
