Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
2022,1615.62,779.94,596.12,239.56,15%,48%,37%
2023,1475.961229,587.0438859999999,640.53079,248.386553,17%,40%,43%
