"Rio Marker","Cross-cutting","Bilateral ODA","Share","Donor"
"Adaptation",10.8523588303578,12.1683264497597,"91%","Luxembourg"
"Mitigation",10.8523588303578,2.21427470826819,"52%","Luxembourg"
