"Year","ODA as % GNI","ODA as % of GNI (estimate)","ODA as % of GNI (downside)","ODA as % of GNI (upside)","Total ODA","Total ODA (estimate)","Upside ODA projection","Downside ODA projection"
"2018","0.358962%",NA,NA,NA,1041.432382,NA,NA,NA
"2019","0.416877%",NA,NA,NA,1243.126372,NA,NA,NA
"2020","0.467643%",NA,NA,NA,1360.179203,NA,NA,NA
"2021","0.473801%",NA,NA,NA,1441.22,NA,NA,NA
"2022","0.573563%",NA,"0.573563%","0.573563%",1713.463186,NA,NA,NA
