"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2017","8%",6,21,"2%","6%","92%"
"2018","7%",4,22,"1%","6%","93%"
"2019","6%",9,14,"2%","3%","94%"
"2020","1%",1,2,"0%","1%","99%"
"2021","7%",10,13,"3%","4%","93%"
