Year,ODA AS % GNI,Total ODA
2018,0.72%,2702.517272182
2019,0.72%,2785.387316733
2020,0.72%,2756.4044430930003
2021,0.71%,2837.6099237955004
2022,0.67%,2802.775465
2023,0.73%,3056.6031938155
2024,0.67%,2843.093855
2025,0.67%,2885.2835200000004
