Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
2022,2410.23,1569.94,585.74,254.55,11%,65%,24%
2023,2644.723912,1764.485757,630.056112,250.182043,9%,67%,24%
