Year,ODA for Development Priorities,Contributions to EUI,In-donor Refugee Costs
2019,1516.3134539999999,641.957992,143.763804
2020,1595.6171839999997,664.830412,135.357472
2021,1591.7311750000003,666.844351,236.045348
2022,1579.72,787.9,319.84
2023,1662.7121200000001,719.172938,317.169389
