"Year","Adaptation-related ODA as % of total bilateral allocable ODA","Principal funding","Significant funding","Principal","Significant","Not targeted and not screened"
"2017","26%",0.6301999158532,163.330673992543,"0%","26%","74%"
"2018","11%",5.4094175401178,67.8772443339254,"1%","10%","89%"
"2019","15%",3.449034415838,55.2688222787272,"1%","14%","85%"
"2020","12%",13.6910720176824,67.437154324606,"2%","10%","88%"
"2021","22%",16.785469915478,202.421872060346,"2%","20%","78%"
