"Year","ODA as % GNI","ODA as % of GNI (estimate)","ODA as % of GNI (downside)","ODA as % of GNI (upside)","Total ODA","Total ODA (estimate)","Upside ODA projection","Downside ODA projection"
"2018","0.718481%",NA,NA,NA,2770.769717,NA,NA,NA
"2019","0.716872%",NA,NA,NA,2855.494973,NA,NA,NA
"2020","0.719607%",NA,NA,NA,2835.054495,NA,NA,NA
"2021","0.710775%",NA,NA,NA,2921,NA,NA,NA
"2022","0.697683%",NA,"0.697683%","0.697683%",2966.830171,NA,NA,NA
