Year,Total ODA,Bilateral funding,Multilateral as core contributions to organizations,Bilateral as earmarked funding through multilaterals,Earmarked,Bilateral,Multilateral
2022,2770.91,1380.35,757.48,633.08,23%,50%,27%
2023,3021.851897,1421.4966279999999,888.944553,711.40083,24%,47%,29%
