Donor,Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened
Poland,2019,7.8,3.74,3.19,4.21,3.59,92.2
Poland,2020,6.32,3.28,2.68,3.48,2.84,93.68
Poland,2021,2.09,0.78,2.01,0.58,1.51,97.91
Poland,2022,2.97,2.26,6.31,0.78,2.19,97.03
Poland,2023,3.79,1.37,5.51,0.76,3.03,96.21
