Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Lithuania,2022,Adaptation,2.44,0.0,96.5%
Lithuania,2022,Mitigation,2.44,0.08,99.5%
Lithuania,2023,Adaptation,0.37,0.03,9.7%
Lithuania,2023,Mitigation,0.37,0.03,9.8%
