Donor,Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened
Greece,2019,0.0,0.0,0.0,0.0,0.0,100.0
Greece,2020,4.71,0.0,0.02,0.0,4.71,95.29
Greece,2021,0.0,0.0,0.0,0.0,0.0,100.0
Greece,2022,0.0,0.0,0.0,0.0,0.0,100.0
Greece,2023,0.26,0.01,0.0,0.23,0.03,99.74
