"Year","climate funding as a % of bilateral allocable ODA","Funding for projects with climate change as a principal objective","Funding for projects with a significant climate change component","Principal","Significant","Not targeted and not screened"
"2018","12%",5.413964,67.934286,"1%","11%","88%"
"2019","32%",3.451244,113.801905,"1%","31%","68%"
"2020","15%",13.671257,83.30196,"2%","13%","85%"
"2021","26%",16.785471,222.421872,"2%","24%","74%"
"2022","21%",11.480033,113.883921,"2%","19%","79%"
