Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Netherlands,2022,Adaptation,466.19,1210.45,85.0%
Netherlands,2022,Mitigation,466.19,296.42,38.7%
Netherlands,2023,Adaptation,780.14,1574.14,91.7%
Netherlands,2023,Mitigation,780.14,213.81,38.7%
