Donor,Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened
Korea,2019,29.53,129.19,875.02,3.8,25.74,70.46000000000001
Korea,2020,9.13,121.66,76.0,5.62,3.51,90.87
Korea,2021,26.16,547.91,770.3,10.87,15.29,73.84
Korea,2022,36.74,574.68,1615.49,9.64,27.1,63.26
Korea,2023,65.37,1439.41,1654.05,30.42,34.95,34.629999999999995
