Donor,Year,Climate Funding as % of bilateral allocable ODA,Funding for projects with climate change as a principal objective,Funding for projects with a significant climate change component,Principal,Significant,Not targeted and not screened
Switzerland,2019,20.92,130.43,281.79,6.62,14.3,79.08
Switzerland,2020,18.32,145.12,289.58,6.12,12.2,81.68
Switzerland,2021,28.05,168.48,489.02,7.19,20.86,71.95
Switzerland,2022,30.34,144.69,668.87,5.4,24.94,69.66
Switzerland,2023,20.59,123.08,315.95,5.77,14.82,79.41
