Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Japan,2022,Adaptation,908.36,3844.42,39.4%
Japan,2022,Mitigation,908.36,1875.36,23.1%
Japan,2023,Adaptation,783.75,3371.41,25.1%
Japan,2023,Mitigation,783.75,12379.95,79.6%
