Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Spain,2022,Adaptation,71.22,33.24,36.9%
Spain,2022,Mitigation,71.22,178.33,88.2%
Spain,2023,Adaptation,0.0,0.0,
Spain,2023,Mitigation,0.0,0.0,
