Donor,year,Rio Marker,Cross-cutting,Bilateral ODA,Share
Luxembourg,2022,Adaptation,27.19,32.37,99.5%
Luxembourg,2022,Mitigation,27.19,0.28,45.9%
Luxembourg,2023,Adaptation,26.29,15.64,99.1%
Luxembourg,2023,Mitigation,26.29,0.4,63.0%
